time,open,high,low,close,tick_volume,spread,real_volume
2021-09-23 16:00:00+00:00,1.17439,1.17471,1.17431,1.1745,661,2,0
2021-09-23 16:30:00+00:00,1.17452,1.1749100000000001,1.17446,1.17487,522,2,0
2021-09-23 17:00:00+00:00,1.17487,1.17487,1.17439,1.1745,655,2,0
2021-09-23 17:30:00+00:00,1.1745,1.17479,1.17432,1.1746699999999999,516,2,0
2021-09-23 18:00:00+00:00,1.17466,1.17487,1.17454,1.17464,533,2,0
2021-09-23 18:30:00+00:00,1.17464,1.17466,1.17414,1.1742,489,2,0
2021-09-23 19:00:00+00:00,1.17421,1.17421,1.17383,1.17402,415,2,0
2021-09-23 19:30:00+00:00,1.17403,1.17405,1.17357,1.17382,476,2,0
2021-09-23 20:00:00+00:00,1.1733500000000001,1.17388,1.1733500000000001,1.17383,54,7,0
2021-09-23 20:30:00+00:00,1.17383,1.17393,1.17355,1.17379,140,19,0
2021-09-23 21:00:00+00:00,1.17393,1.17428,1.17377,1.17416,187,2,0
2021-09-23 21:30:00+00:00,1.17416,1.17432,1.1741,1.17417,196,2,0
2021-09-23 22:00:00+00:00,1.17418,1.17434,1.17408,1.17434,186,2,0
2021-09-23 22:30:00+00:00,1.17433,1.1745700000000001,1.17392,1.17397,207,2,0
2021-09-23 23:00:00+00:00,1.17397,1.1746,1.17397,1.17428,710,2,0
2021-09-23 23:30:00+00:00,1.17427,1.17475,1.17427,1.17458,651,2,0
2021-09-24 00:00:00+00:00,1.17459,1.17463,1.17409,1.17426,559,2,0
2021-09-24 00:30:00+00:00,1.17427,1.17437,1.17383,1.17389,501,2,0
2021-09-24 01:00:00+00:00,1.17388,1.17404,1.17377,1.17392,455,2,0
2021-09-24 01:30:00+00:00,1.17391,1.17405,1.17381,1.174,366,2,0
2021-09-24 02:00:00+00:00,1.174,1.17425,1.17392,1.17416,462,2,0
2021-09-24 02:30:00+00:00,1.17414,1.17429,1.17402,1.17409,319,2,0
2021-09-24 03:00:00+00:00,1.17409,1.17417,1.17403,1.17414,262,2,0
2021-09-24 03:30:00+00:00,1.17414,1.17419,1.17357,1.1737,328,2,0
2021-09-24 04:00:00+00:00,1.1736900000000001,1.1739,1.17356,1.17383,395,2,0
2021-09-24 04:30:00+00:00,1.17382,1.17395,1.17365,1.17368,492,2,0
2021-09-24 05:00:00+00:00,1.17368,1.17414,1.17352,1.17357,932,2,0
2021-09-24 05:30:00+00:00,1.17354,1.174,1.1731,1.1735,952,2,0
2021-09-24 06:00:00+00:00,1.17351,1.17408,1.1731,1.17387,1393,2,0
2021-09-24 06:30:00+00:00,1.17387,1.17412,1.17341,1.17377,1074,2,0
2021-09-24 07:00:00+00:00,1.17377,1.17405,1.1730800000000001,1.17349,1262,2,0
2021-09-24 07:30:00+00:00,1.17349,1.17379,1.1732,1.1736,965,2,0
2021-09-24 08:00:00+00:00,1.1736,1.1738,1.17337,1.17349,823,2,0
2021-09-24 08:30:00+00:00,1.17349,1.17377,1.17332,1.17347,914,2,0
2021-09-24 09:00:00+00:00,1.17347,1.17373,1.17307,1.1736900000000001,928,2,0
2021-09-24 09:30:00+00:00,1.1736900000000001,1.1737,1.1728399999999999,1.1734499999999999,865,2,0
2021-09-24 10:00:00+00:00,1.1734499999999999,1.1736900000000001,1.1718899999999999,1.17225,1165,2,0
2021-09-24 10:30:00+00:00,1.17225,1.17225,1.1712799999999999,1.17136,1065,2,0
2021-09-24 11:00:00+00:00,1.17137,1.17196,1.17137,1.1716199999999999,1211,2,0
2021-09-24 11:30:00+00:00,1.1716199999999999,1.1716199999999999,1.17065,1.17065,1363,2,0
2021-09-24 12:00:00+00:00,1.17065,1.17142,1.17005,1.17131,1381,2,0
2021-09-24 12:30:00+00:00,1.17136,1.17196,1.17094,1.17116,1724,2,0
2021-09-24 13:00:00+00:00,1.17116,1.1716199999999999,1.17043,1.17108,1810,2,0
2021-09-24 13:30:00+00:00,1.17106,1.17153,1.17066,1.1712799999999999,1497,2,0
2021-09-24 14:00:00+00:00,1.17126,1.17166,1.17085,1.17105,1159,2,0
2021-09-24 14:30:00+00:00,1.17103,1.17154,1.17069,1.17137,891,2,0
2021-09-24 15:00:00+00:00,1.17136,1.17251,1.17127,1.17241,1057,2,0
