,date,open,high,low,close,tick_volume,spread,real_volume
6831,5/2/2017 22:30,14759,14759,14731,14744,384,0,0
6832,5/2/2017 21:30,14725,14762,14725,14760,688,0,0
6833,5/2/2017 20:30,14703,14738,14684,14726,891,0,0
6834,5/2/2017 19:30,14752,14764,14701,14705,822,0,0
6835,5/2/2017 18:30,14789,14795,14748,14751,878,0,0
6836,5/2/2017 17:30,14727,14807,14725,14790,832,0,0
6837,5/2/2017 16:30,14740,14768,14701,14725,1160,0,0
6838,5/1/2017 22:30,14692,14718,14656,14656,405,0,0
6839,5/1/2017 21:30,14671,14689,14655,14689,751,0,0
6840,5/1/2017 20:30,14672,14698,14662,14673,785,0,0
6841,5/1/2017 19:30,14631,14673,14627,14672,940,0,0
6842,5/1/2017 18:30,14606,14633,14594,14630,928,0,0
6843,5/1/2017 17:30,14568,14628,14568,14605,973,0,0
6844,5/1/2017 16:30,14508,14595,14505,14569,1167,0,0
6845,4/28/2017 22:30,14355,14374,14345,14365,293,0,0
6846,4/28/2017 21:30,14374,14382,14352,14353,541,0,0
6847,4/28/2017 20:30,14401,14403,14356,14375,760,0,0
6848,4/28/2017 19:30,14410,14429,14399,14402,636,0,0
6849,4/28/2017 18:30,14369,14417,14361,14411,816,0,0
6850,4/28/2017 17:30,14365,14388,14351,14369,929,0,0
6851,4/28/2017 16:30,14376,14384,14325,14366,1290,0,0
6852,4/27/2017 22:30,14378,14387,14350,14376,444,0,0
6853,4/27/2017 21:30,14364,14380,14351,14380,509,0,0
6854,4/27/2017 20:30,14380,14382,14360,14366,399,0,0
6855,4/27/2017 19:30,14365,14389,14358,14379,669,0,0
6856,4/27/2017 18:30,14342,14369,14342,14366,715,0,0
6857,4/27/2017 17:30,14333,14361,14330,14341,945,0,0
6858,4/27/2017 16:30,14396,14413,14333,14333,1131,0,0
6859,4/26/2017 22:30,14395,14396,14337,14368,582,0,0
6860,4/26/2017 21:30,14403,14415,14389,14394,851,0,0
6861,4/26/2017 20:30,14414,14455,14399,14402,1227,0,0
6862,4/26/2017 19:30,14410,14418,14392,14413,848,0,0
6863,4/26/2017 18:30,14416,14429,14393,14409,971,0,0
6864,4/26/2017 17:30,14398,14420,14384,14416,916,0,0
6865,4/26/2017 16:30,14418,14458,14381,14399,1100,0,0
6866,4/25/2017 22:30,14477,14482,14453,14454,368,0,0
6867,4/25/2017 21:30,14471,14489,14463,14479,554,0,0
6868,4/25/2017 20:30,14462,14481,14457,14472,607,0,0
6869,4/25/2017 19:30,14459,14466,14443,14462,648,0,0
6870,4/25/2017 18:30,14446,14469,14443,14461,776,0,0
6871,4/25/2017 17:30,14425,14469,14422,14447,888,0,0
6872,4/25/2017 16:30,14410,14444,14406,14424,1109,0,0
6873,4/24/2017 22:30,14369,14380,14355,14365,282,0,0
6874,4/24/2017 21:30,14382,14386,14367,14368,587,0,0
6875,4/24/2017 20:30,14378,14385,14365,14381,639,0,0
6876,4/24/2017 19:30,14372,14381,14369,14377,605,0,0
6877,4/24/2017 18:30,14348,14381,14343,14371,718,0,0
6878,4/24/2017 17:30,14380,14382,14344,14349,973,0,0
6879,4/24/2017 16:30,14343,14393,14319,14381,1262,0,0
6880,4/21/2017 22:30,14198,14232,14193,14227,408,0,0
6881,4/21/2017 21:30,14207,14210,14185,14199,729,0,0
6882,4/21/2017 20:30,14220,14221,14193,14208,871,0,0
6883,4/21/2017 19:30,14227,14243,14204,14222,877,0,0
6884,4/21/2017 18:30,14240,14257,14220,14228,628,0,0
6885,4/21/2017 17:30,14237,14252,14211,14239,775,0,0
6886,4/21/2017 16:30,14248,14264,14211,14236,1179,0,0
6887,4/20/2017 22:30,14273,14287,14237,14241,392,0,0
6888,4/20/2017 21:30,14266,14282,14263,14274,574,0,0
6889,4/20/2017 20:30,14267,14290,14261,14268,951,0,0
6890,4/20/2017 19:30,14269,14291,14247,14266,874,0,0
6891,4/20/2017 18:30,14197,14272,14186,14268,931,0,0
6892,4/20/2017 17:30,14176,14199,14154,14196,845,0,0
6893,4/20/2017 16:30,14134,14189,14121,14178,1205,0,0
6894,4/19/2017 22:30,14056,14076,14045,14066,513,0,0
6895,4/19/2017 21:30,14089,14099,14053,14056,942,0,0
6896,4/19/2017 20:30,14119,14121,14067,14091,840,0,0
6897,4/19/2017 19:30,14144,14154,14110,14120,663,0,0
6898,4/19/2017 18:30,14191,14191,14131,14145,652,0,0
6899,4/19/2017 17:30,14162,14192,14151,14192,890,0,0
6900,4/19/2017 16:30,14194,14196,14151,14162,1109,0,0
6901,4/18/2017 22:30,14131,14143,14116,14118,494,0,0
6902,4/18/2017 21:30,14148,14156,14112,14130,942,0,0
6903,4/18/2017 20:30,14141,14154,14134,14148,980,0,0
6904,4/18/2017 19:30,14133,14145,14125,14143,1006,0,0
6905,4/18/2017 18:30,14165,14169,14111,14132,1134,0,0
6906,4/18/2017 17:30,14175,14203,14150,14166,1091,0,0
6907,4/18/2017 16:30,14138,14196,14121,14174,1285,0,0
6908,4/17/2017 22:30,14163,14185,14154,14179,481,0,0
6909,4/17/2017 21:30,14146,14171,14130,14163,829,0,0
6910,4/17/2017 20:30,14147,14152,14133,14144,602,0,0
6911,4/17/2017 19:30,14128,14148,14124,14147,541,0,0
6912,4/17/2017 18:30,14130,14135,14106,14128,584,0,0
6913,4/17/2017 17:30,14104,14134,14087,14129,898,0,0
6914,4/17/2017 16:30,14126,14168,14105,14105,1252,0,0
6915,4/13/2017 22:30,14175,14179,14107,14107,625,0,0
6916,4/13/2017 21:30,14187,14202,14173,14177,1006,0,0
6917,4/13/2017 20:30,14187,14197,14166,14187,1051,0,0
6918,4/13/2017 19:30,14202,14214,14158,14187,1105,0,0
6919,4/13/2017 18:30,14229,14231,14194,14202,934,0,0
6920,4/13/2017 17:30,14209,14237,14205,14230,1021,0,0
6921,4/13/2017 16:30,14176,14220,14154,14209,1321,0,0
6922,4/12/2017 22:30,14151,14176,14138,14176,521,0,0
6923,4/12/2017 21:30,14160,14177,14121,14148,1057,0,0
6924,4/12/2017 20:30,14111,14176,14101,14161,1029,0,0
6925,4/12/2017 19:30,14137,14141,14105,14112,943,0,0
6926,4/12/2017 18:30,14152,14156,14107,14138,1097,0,0
6927,4/12/2017 17:30,14158,14166,14131,14152,1236,0,0
6928,4/12/2017 16:30,14174,14213,14134,14156,1414,0,0
6929,4/11/2017 22:30,14118,14159,14112,14159,555,0,0
6930,4/11/2017 21:30,14163,14195,14100,14120,1186,0,0
6931,4/11/2017 20:30,14200,14213,14150,14166,1239,0,0
